[DEBUG] 2020-02-22 08:09:52.904 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-22 08:09:52.908 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-22 08:09:52.910 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-22 08:09:52.949 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-22 08:09:52.950 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-22 08:09:53.085 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-22 08:09:53.335 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-22 08:09:53.351 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-22 08:09:53.352 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-22 08:09:53.368 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-22 08:09:53.402 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@78c7f9b3
[DEBUG] 2020-02-22 08:09:53.402 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@78c7f9b3
[DEBUG] 2020-02-22 08:09:53.402 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@78c7f9b3
[DEBUG] 2020-02-22 08:09:53.403 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@aa21042
[DEBUG] 2020-02-22 08:09:53.403 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@601cbd8c
[DEBUG] 2020-02-22 08:09:53.403 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5a5c128
[DEBUG] 2020-02-22 08:09:53.404 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6dc1484
[DEBUG] 2020-02-22 08:09:53.404 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6dc1484
[DEBUG] 2020-02-22 08:09:53.404 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6dc1484
