[DEBUG] 2020-02-20 12:26:01.438 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-20 12:26:01.441 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-20 12:26:01.443 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-20 12:26:01.483 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-20 12:26:01.484 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-20 12:26:01.618 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-20 12:26:01.821 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-20 12:26:01.832 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-20 12:26:01.832 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-20 12:26:01.845 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-20 12:26:01.886 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58f174d9
[DEBUG] 2020-02-20 12:26:01.886 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58f174d9
[DEBUG] 2020-02-20 12:26:01.886 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@58f174d9
[DEBUG] 2020-02-20 12:26:01.887 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4d6f623d
[DEBUG] 2020-02-20 12:26:01.887 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7a26928a
[DEBUG] 2020-02-20 12:26:01.888 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@d0ec63
[DEBUG] 2020-02-20 12:26:01.888 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7ff2b8d2
[DEBUG] 2020-02-20 12:26:01.888 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@7ff2b8d2
[DEBUG] 2020-02-20 12:26:01.888 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@7ff2b8d2
[DEBUG] 2020-02-20 12:26:01.889 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@5b6e8f77
[DEBUG] 2020-02-20 12:26:01.889 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@5b6e8f77
[DEBUG] 2020-02-20 12:26:01.889 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@5b6e8f77
[DEBUG] 2020-02-20 12:26:01.890 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@27e32fe4
[DEBUG] 2020-02-20 12:26:01.890 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@27e32fe4
[DEBUG] 2020-02-20 12:26:01.890 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@27e32fe4
[DEBUG] 2020-02-20 12:26:01.891 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@3044e9c7
