[DEBUG] 2020-02-25 13:07:50.946 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-25 13:07:50.960 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-25 13:07:50.970 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-25 13:07:51.127 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-25 13:07:51.133 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-25 13:07:51.567 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-25 13:07:52.183 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-25 13:07:52.221 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-25 13:07:52.223 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-25 13:07:52.258 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-25 13:07:52.336 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@65327f5
[DEBUG] 2020-02-25 13:07:52.337 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@65327f5
[DEBUG] 2020-02-25 13:07:52.337 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@65327f5
[DEBUG] 2020-02-25 13:07:52.338 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@72458efc
[DEBUG] 2020-02-25 13:07:52.339 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6a714237
[DEBUG] 2020-02-25 13:07:52.340 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@4ebadd3d
[DEBUG] 2020-02-25 13:07:52.342 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@38499e48
[DEBUG] 2020-02-25 13:07:52.342 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@38499e48
[DEBUG] 2020-02-25 13:07:52.343 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@38499e48
[DEBUG] 2020-02-25 13:07:52.345 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@42f22995
[DEBUG] 2020-02-25 13:07:52.346 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@42f22995
[DEBUG] 2020-02-25 13:07:52.346 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@42f22995
[DEBUG] 2020-02-25 13:07:52.348 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@29182679
[DEBUG] 2020-02-25 13:07:52.348 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@29182679
