[DEBUG] 2020-02-18 16:40:43.894 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-18 16:40:43.901 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-18 16:40:43.906 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-18 16:40:43.995 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-18 16:40:43.997 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-18 16:40:44.159 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-18 16:40:44.359 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-18 16:40:44.379 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-18 16:40:44.380 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-18 16:40:44.394 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-18 16:40:44.425 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3a4ba480
[DEBUG] 2020-02-18 16:40:44.425 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3a4ba480
[DEBUG] 2020-02-18 16:40:44.425 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3a4ba480
[DEBUG] 2020-02-18 16:40:44.426 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@131fcb6f
[DEBUG] 2020-02-18 16:40:44.426 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@29fc1a2b
[DEBUG] 2020-02-18 16:40:44.426 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@25d3cfc8
[DEBUG] 2020-02-18 16:40:44.427 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@40ee0a22
[DEBUG] 2020-02-18 16:40:44.427 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@40ee0a22
[DEBUG] 2020-02-18 16:40:44.427 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@40ee0a22
