[DEBUG] 2020-03-02 22:52:59.359 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-03-02 22:52:59.362 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-03-02 22:52:59.364 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-03-02 22:52:59.398 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-03-02 22:52:59.398 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-03-02 22:52:59.484 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-03-02 22:52:59.623 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-03-02 22:52:59.634 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-03-02 22:52:59.634 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-03-02 22:52:59.644 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-03-02 22:52:59.669 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6a74d228
[DEBUG] 2020-03-02 22:52:59.669 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@6a74d228
[DEBUG] 2020-03-02 22:52:59.669 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6a74d228
[DEBUG] 2020-03-02 22:52:59.669 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@72ba28ee
[DEBUG] 2020-03-02 22:52:59.669 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@4917d36b
[DEBUG] 2020-03-02 22:52:59.670 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7b44b63d
[DEBUG] 2020-03-02 22:52:59.670 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@66434cc8
[DEBUG] 2020-03-02 22:52:59.670 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@66434cc8
[DEBUG] 2020-03-02 22:52:59.671 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@66434cc8
[DEBUG] 2020-03-02 22:52:59.671 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6d467c87
[DEBUG] 2020-03-02 22:52:59.671 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@6d467c87
[DEBUG] 2020-03-02 22:52:59.671 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@6d467c87
[DEBUG] 2020-03-02 22:52:59.672 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@511d5d04
[DEBUG] 2020-03-02 22:52:59.672 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@511d5d04
[DEBUG] 2020-03-02 22:52:59.672 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@511d5d04
[DEBUG] 2020-03-02 22:52:59.673 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@11653e3b
[DEBUG] 2020-03-02 22:52:59.673 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@11653e3b
[DEBUG] 2020-03-02 22:52:59.673 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@11653e3b
[DEBUG] 2020-03-02 22:52:59.674 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7c974942
[DEBUG] 2020-03-02 22:52:59.674 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7c974942
[DEBUG] 2020-03-02 22:52:59.674 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7c974942
[DEBUG] 2020-03-02 22:52:59.675 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6b580b88
[DEBUG] 2020-03-02 22:52:59.675 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6b580b88
[DEBUG] 2020-03-02 22:52:59.675 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6b580b88
[DEBUG] 2020-03-02 22:52:59.675 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6f8f8a80
[DEBUG] 2020-03-02 22:52:59.675 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@6f8f8a80
[DEBUG] 2020-03-02 22:52:59.676 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6f8f8a80
[DEBUG] 2020-03-02 22:52:59.676 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@7004e3d
[DEBUG] 2020-03-02 22:52:59.676 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@7004e3d
[DEBUG] 2020-03-02 22:52:59.677 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@25d958c6
[DEBUG] 2020-03-02 22:52:59.677 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@25d958c6
[DEBUG] 2020-03-02 22:52:59.677 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@695a69a1
[DEBUG] 2020-03-02 22:52:59.677 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@695a69a1
[DEBUG] 2020-03-02 22:52:59.677 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@5eeedb60
[DEBUG] 2020-03-02 22:52:59.678 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@1b32cd16
[DEBUG] 2020-03-02 22:52:59.678 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@19593091
[DEBUG] 2020-03-02 22:52:59.678 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@19593091
[DEBUG] 2020-03-02 22:52:59.679 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@4e868ef5
[DEBUG] 2020-03-02 22:52:59.679 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4e868ef5
[DEBUG] 2020-03-02 22:52:59.681 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@2f879bab
[DEBUG] 2020-03-02 22:52:59.682 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@2f879bab
[DEBUG] 2020-03-02 22:52:59.682 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@1d207fad
[DEBUG] 2020-03-02 22:52:59.682 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@1d207fad
[DEBUG] 2020-03-02 22:52:59.683 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@488b50ec
[DEBUG] 2020-03-02 22:52:59.683 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@488b50ec
[DEBUG] 2020-03-02 22:52:59.683 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@6d2d99fc
[DEBUG] 2020-03-02 22:52:59.684 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@6d2d99fc
[DEBUG] 2020-03-02 22:52:59.684 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3a095ec0
[DEBUG] 2020-03-02 22:52:59.684 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@3a095ec0
[DEBUG] 2020-03-02 22:52:59.685 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@7e8a46b7
[DEBUG] 2020-03-02 22:52:59.685 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@7e8a46b7
[DEBUG] 2020-03-02 22:52:59.686 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1e6308a9
[DEBUG] 2020-03-02 22:52:59.686 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@1e6308a9
[DEBUG] 2020-03-02 22:52:59.687 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@43cf6ea3
[DEBUG] 2020-03-02 22:52:59.687 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@43cf6ea3
[DEBUG] 2020-03-02 22:52:59.688 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@5ecba515
[DEBUG] 2020-03-02 22:52:59.688 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@5ecba515
[DEBUG] 2020-03-02 22:52:59.688 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@64f555e7
[DEBUG] 2020-03-02 22:52:59.688 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@64f555e7
[DEBUG] 2020-03-02 22:52:59.689 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@64f555e7
[DEBUG] 2020-03-02 22:52:59.690 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@44afefd5
[DEBUG] 2020-03-02 22:52:59.690 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@30135202
[DEBUG] 2020-03-02 22:52:59.690 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@30135202
[DEBUG] 2020-03-02 22:52:59.690 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@30135202
[DEBUG] 2020-03-02 22:52:59.691 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@78411116
[DEBUG] 2020-03-02 22:52:59.691 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@2d195ee4
[DEBUG] 2020-03-02 22:52:59.691 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@2d195ee4
[DEBUG] 2020-03-02 22:52:59.692 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@6b1e7ad3
[DEBUG] 2020-03-02 22:52:59.692 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@6b1e7ad3
[DEBUG] 2020-03-02 22:52:59.692 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@5972d253
[DEBUG] 2020-03-02 22:52:59.692 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@5972d253
[DEBUG] 2020-03-02 22:52:59.693 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@551de37d
[DEBUG] 2020-03-02 22:52:59.693 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@551de37d
