[DEBUG] 2020-02-19 22:10:10.477 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-19 22:10:10.480 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-19 22:10:10.482 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-19 22:10:10.517 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-19 22:10:10.518 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-19 22:10:10.607 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-19 22:10:10.764 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-19 22:10:10.776 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-19 22:10:10.777 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-19 22:10:10.787 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-19 22:10:10.807 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3fbfa96
[DEBUG] 2020-02-19 22:10:10.808 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@3fbfa96
[DEBUG] 2020-02-19 22:10:10.808 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@3fbfa96
[DEBUG] 2020-02-19 22:10:10.808 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@2d7e1102
[DEBUG] 2020-02-19 22:10:10.808 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@6d367020
[DEBUG] 2020-02-19 22:10:10.809 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@349d0836
[DEBUG] 2020-02-19 22:10:10.810 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@35c09b94
[DEBUG] 2020-02-19 22:10:10.810 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@35c09b94
[DEBUG] 2020-02-19 22:10:10.810 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@35c09b94
[DEBUG] 2020-02-19 22:10:10.811 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@17ae7628
[DEBUG] 2020-02-19 22:10:10.812 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@17ae7628
[DEBUG] 2020-02-19 22:10:10.812 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@17ae7628
