[DEBUG] 2020-02-19 11:52:46.790 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-02-19 11:52:46.794 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-02-19 11:52:46.796 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-02-19 11:52:46.878 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-02-19 11:52:46.880 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-02-19 11:52:46.977 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-02-19 11:52:47.163 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-02-19 11:52:47.175 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-02-19 11:52:47.175 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-02-19 11:52:47.184 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-02-19 11:52:47.218 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@417ad4f3
[DEBUG] 2020-02-19 11:52:47.219 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@417ad4f3
[DEBUG] 2020-02-19 11:52:47.219 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@417ad4f3
[DEBUG] 2020-02-19 11:52:47.219 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6f8d7714
[DEBUG] 2020-02-19 11:52:47.219 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@e93f3d5
[DEBUG] 2020-02-19 11:52:47.219 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7180e701
[DEBUG] 2020-02-19 11:52:47.220 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5a865416
[DEBUG] 2020-02-19 11:52:47.220 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5a865416
[DEBUG] 2020-02-19 11:52:47.220 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5a865416
[DEBUG] 2020-02-19 11:52:47.221 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@2375b321
[DEBUG] 2020-02-19 11:52:47.221 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@2375b321
[DEBUG] 2020-02-19 11:52:47.221 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@2375b321
[DEBUG] 2020-02-19 11:52:47.221 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@19f040ba
[DEBUG] 2020-02-19 11:52:47.222 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@19f040ba
[DEBUG] 2020-02-19 11:52:47.222 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@19f040ba
[DEBUG] 2020-02-19 11:52:47.222 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6d6cb754
[DEBUG] 2020-02-19 11:52:47.222 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6d6cb754
[DEBUG] 2020-02-19 11:52:47.222 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6d6cb754
[DEBUG] 2020-02-19 11:52:47.223 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@213deac2
[DEBUG] 2020-02-19 11:52:47.223 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@213deac2
[DEBUG] 2020-02-19 11:52:47.223 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@213deac2
[DEBUG] 2020-02-19 11:52:47.223 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5b5caf08
[DEBUG] 2020-02-19 11:52:47.224 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@5b5caf08
[DEBUG] 2020-02-19 11:52:47.224 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@5b5caf08
[DEBUG] 2020-02-19 11:52:47.224 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3e6f3bae
[DEBUG] 2020-02-19 11:52:47.224 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@3e6f3bae
[DEBUG] 2020-02-19 11:52:47.224 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@3e6f3bae
[DEBUG] 2020-02-19 11:52:47.225 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@d400943
[DEBUG] 2020-02-19 11:52:47.225 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@d400943
[DEBUG] 2020-02-19 11:52:47.226 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@aed0151
[DEBUG] 2020-02-19 11:52:47.226 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@aed0151
[DEBUG] 2020-02-19 11:52:47.226 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@3a60c416
[DEBUG] 2020-02-19 11:52:47.226 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@3a60c416
[DEBUG] 2020-02-19 11:52:47.227 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@57bd2029
[DEBUG] 2020-02-19 11:52:47.227 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@53667cbe
[DEBUG] 2020-02-19 11:52:47.227 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@577f9109
[DEBUG] 2020-02-19 11:52:47.227 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@577f9109
